,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002747.SZ,20200724,16.8,16.81,15.56,16.2,16.51,-0.31,-1.8776,285487.23,460908.718
1,002747.SZ,20200723,17.8,18.07,16.24,16.51,17.95,-1.44,-8.0223,332693.07,561431.8420000001
2,002747.SZ,20200722,17.12,18.18,16.9,17.95,17.21,0.74,4.2998,184201.74,325956.565
3,002747.SZ,20200721,17.2,17.87,16.77,17.21,16.97,0.24,1.4143,226621.76,390465.48600000003
4,002747.SZ,20200720,15.8,16.97,15.5,16.97,15.43,1.54,9.9806,320102.62,530137.9920000001
5,002747.SZ,20200717,14.86,15.8,14.8,15.43,14.87,0.56,3.766,199292.16,305435.914
6,002747.SZ,20200716,14.95,16.1,14.83,14.87,15.23,-0.36,-2.3638,229290.8,353556.481
7,002747.SZ,20200715,15.4,15.6,14.8,15.23,15.2,0.03,0.1974,213356.58,323258.908
8,002747.SZ,20200714,15.21,16.16,14.68,15.2,15.32,-0.12,-0.7833,222269.86,340759.69700000004
9,002747.SZ,20200713,14.97,15.43,14.75,15.32,15.12,0.2,1.3228,184452.45,278886.69800000003
10,002747.SZ,20200710,15.63,15.68,14.6,15.12,15.5,-0.38,-2.4516,218210.43,329484.318
11,002747.SZ,20200709,14.2,15.5,14.01,15.5,14.09,1.41,10.0071,267772.91,395199.48600000003
12,002747.SZ,20200708,13.03,14.4,13.03,14.09,13.09,1.0,7.6394,293345.03,407198.381
13,002747.SZ,20200707,13.05,13.55,12.92,13.09,13.0,0.09,0.6923,184150.75,243893.075
14,002747.SZ,20200706,12.97,13.16,12.78,13.0,12.9,0.1,0.7752,241303.32,313084.24
15,002747.SZ,20200703,12.39,13.1,12.3,12.9,12.35,0.55,4.4534,218369.18,278710.53
16,002747.SZ,20200702,12.37,12.48,12.05,12.35,12.38,-0.03,-0.2423,164501.68,201440.634
17,002747.SZ,20200701,11.95,12.65,11.8,12.38,11.96,0.42,3.5117,228877.17,280866.55100000004
18,002747.SZ,20200630,11.62,12.15,11.51,11.96,11.58,0.38,3.2815,192286.3,228599.44600000003
19,002747.SZ,20200629,11.17,11.77,10.96,11.58,11.19,0.39,3.4853,207979.77,237171.97699999998
20,002747.SZ,20200624,11.32,11.41,11.08,11.19,11.35,-0.16,-1.4097,124793.19,140215.789
21,002747.SZ,20200623,11.09,11.72,11.03,11.35,11.08,0.27,2.4368,223595.75,256107.121
22,002747.SZ,20200622,11.1,11.31,10.93,11.08,11.05,0.03,0.2715,145578.4,161746.863
23,002747.SZ,20200619,11.15,11.2,10.93,11.05,11.05,0.0,0.0,113959.89,125997.534
24,002747.SZ,20200618,11.22,11.39,11.0,11.05,11.33,-0.28,-2.4713,150478.58,168049.28399999999
25,002747.SZ,20200617,11.4,11.69,11.1,11.33,10.96,0.37,3.3759,278214.1,313691.26
26,002747.SZ,20200616,10.09,10.96,10.05,10.96,9.96,1.0,10.0402,177673.09,188478.61
27,002747.SZ,20200615,10.24,10.37,9.95,9.96,10.24,-0.28,-2.7344,131237.86,133263.669
28,002747.SZ,20200612,10.2,10.38,10.09,10.24,10.41,-0.17,-1.633,80052.0,81944.18400000001
29,002747.SZ,20200611,10.5,10.69,10.34,10.41,10.52,-0.11,-1.0456,73533.43,77291.533
30,002747.SZ,20200610,10.71,10.74,10.5,10.52,10.74,-0.22,-2.0484,55156.0,58237.469000000005
31,002747.SZ,20200609,10.88,10.95,10.6,10.74,10.9,-0.16,-1.4679,107257.02,115350.037
32,002747.SZ,20200608,11.03,11.23,10.84,10.9,10.98,-0.08,-0.7286,118986.02,130820.131
