trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
20200729,300685.SZ,76.88,80.5,75.22,79.53,76.2,3.33,4.3701,48231.39,378538.641
20200728,300685.SZ,76.24,79.43,74.99,76.2,75.37,0.83,1.1012,45510.24,349243.253
20200727,300685.SZ,71.84,75.99,71.09,75.37,70.99,4.38,6.1699,40116.85,298893.827
20200724,300685.SZ,76.56,78.44,70.0,70.99,77.63,-6.64,-8.5534,45608.24,338125.593
20200723,300685.SZ,76.7,80.8,76.41,77.63,76.9,0.73,0.9493,46867.92,367416.632
20200722,300685.SZ,73.83,77.59,72.92,76.9,73.85,3.05,4.13,36207.0,275623.622
20200721,300685.SZ,70.61,74.5,69.5,73.85,70.77,3.08,4.3521,29076.21,212671.328
20200720,300685.SZ,71.98,71.99,67.18,70.77,70.8,-0.03,-0.0424,34827.97,242427.871
20200717,300685.SZ,69.76,72.13,68.64,70.8,69.37,1.43,2.0614,37857.31,265442.956
20200716,300685.SZ,78.0,78.26,69.36,69.37,77.07,-7.7,-9.9909,51816.84,377971.397
20200715,300685.SZ,75.6,78.68,75.49,77.07,75.78,1.29,1.7023,37215.87,286581.438
20200714,300685.SZ,76.73,78.0,73.0,75.78,77.29,-1.51,-1.9537,35784.18,271008.151
20200713,300685.SZ,75.98,77.35,74.3,77.29,74.1,3.19,4.305,43903.29,333576.063
20200710,300685.SZ,73.75,75.86,72.9,74.1,73.6,0.5,0.6793,46695.92,347164.239
20200709,300685.SZ,71.1,73.65,70.0,73.6,71.16,2.44,3.4289,54826.16,399887.616
20200708,300685.SZ,72.27,72.74,70.35,71.16,72.09,-0.93,-1.2901,34518.84,246140.556
20200707,300685.SZ,70.0,73.43,68.7,72.09,71.1,0.99,1.3924,59030.63,423139.793
20200706,300685.SZ,71.02,71.79,68.88,71.1,71.78,-0.68,-0.9473,49749.56,351523.864
20200703,300685.SZ,72.5,73.1,70.0,71.78,71.79,-0.01,-0.0139,44320.35,317241.463
20200702,300685.SZ,75.13,75.97,71.25,71.79,75.0,-3.21,-4.28,49920.29,363465.213
20200701,300685.SZ,77.12,78.26,72.39,75.0,76.96,-1.96,-2.5468,47894.86,358618.948
20200630,300685.SZ,76.3,79.95,75.58,76.96,76.52,0.44,0.575,40548.34,315525.626
20200629,300685.SZ,70.9,77.39,70.33,76.52,71.39,5.13,7.1859,47526.42,354810.2
20200624,300685.SZ,71.1,71.91,69.8,71.39,71.2,0.19,0.2669,40287.73,286346.167
20200623,300685.SZ,68.28,71.8,68.28,71.2,67.0,4.2,6.2687,57229.92,404187.925
20200622,300685.SZ,66.91,68.4,66.01,67.0,66.96,0.04,0.0597,39436.54,264723.283
20200619,300685.SZ,65.37,67.45,64.3,66.96,64.24,2.72,4.2341,43957.2,292223.754
20200618,300685.SZ,66.99,67.66,63.72,64.24,67.41,-3.17,-4.7026,48086.17,312153.061
20200617,300685.SZ,67.0,69.19,66.23,67.41,66.58,0.83,1.2466,55550.5,376356.761
20200616,300685.SZ,63.63,67.79,62.28,66.58,63.15,3.43,5.4315,62299.9,409306.837
