trade_date,open,high,low,close,pre_close,change,pct_chg,vol
20200724,16.8,16.81,15.56,16.2,16.51,-0.31,-1.8776,285487.23
20200723,17.8,18.07,16.24,16.51,17.95,-1.44,-8.0223,332693.07
20200722,17.12,18.18,16.9,17.95,17.21,0.74,4.2998,184201.74
20200721,17.2,17.87,16.77,17.21,16.97,0.24,1.4143,226621.76
20200720,15.8,16.97,15.5,16.97,15.43,1.54,9.9806,320102.62
20200717,14.86,15.8,14.8,15.43,14.87,0.56,3.766,199292.16
20200716,14.95,16.1,14.83,14.87,15.23,-0.36,-2.3638,229290.8
20200715,15.4,15.6,14.8,15.23,15.2,0.03,0.1974,213356.58
20200714,15.21,16.16,14.68,15.2,15.32,-0.12,-0.7833,222269.86
20200713,14.97,15.43,14.75,15.32,15.12,0.2,1.3228,184452.45
20200710,15.63,15.68,14.6,15.12,15.5,-0.38,-2.4516,218210.43
20200709,14.2,15.5,14.01,15.5,14.09,1.41,10.0071,267772.91
20200708,13.03,14.4,13.03,14.09,13.09,1,7.6394,293345.03
20200707,13.05,13.55,12.92,13.09,13,0.09,0.6923,184150.75
20200706,12.97,13.16,12.78,13,12.9,0.1,0.7752,241303.32
20200703,12.39,13.1,12.3,12.9,12.35,0.55,4.4534,218369.18
20200702,12.37,12.48,12.05,12.35,12.38,-0.03,-0.2423,164501.68
20200701,11.95,12.65,11.8,12.38,11.96,0.42,3.5117,228877.17
20200630,11.62,12.15,11.51,11.96,11.58,0.38,3.2815,192286.3
20200629,11.17,11.77,10.96,11.58,11.19,0.39,3.4853,207979.77
20200624,11.32,11.41,11.08,11.19,11.35,-0.16,-1.4097,124793.19
20200623,11.09,11.72,11.03,11.35,11.08,0.27,2.4368,223595.75
20200622,11.1,11.31,10.93,11.08,11.05,0.03,0.2715,145578.4
20200619,11.15,11.2,10.93,11.05,11.05,0,0,113959.89
20200618,11.22,11.39,11,11.05,11.33,-0.28,-2.4713,150478.58
20200617,11.4,11.69,11.1,11.33,10.96,0.37,3.3759,278214.1
20200616,10.09,10.96,10.05,10.96,9.96,1,10.0402,177673.09
20200615,10.24,10.37,9.95,9.96,10.24,-0.28,-2.7344,131237.86
20200612,10.2,10.38,10.09,10.24,10.41,-0.17,-1.633,80052
20200611,10.5,10.69,10.34,10.41,10.52,-0.11,-1.0456,73533.43
20200610,10.71,10.74,10.5,10.52,10.74,-0.22,-2.0484,55156
20200609,10.88,10.95,10.6,10.74,10.9,-0.16,-1.4679,107257.02
20200608,11.03,11.23,10.84,10.9,10.98,-0.08,-0.7286,118986.02
20200605,10.72,11.3,10.66,10.98,10.8,0.18,1.6667,151691.99
20200604,10.75,10.92,10.74,10.8,10.82,-0.02,-0.1848,77147.97
20200603,10.83,10.95,10.74,10.82,10.77,0.05,0.4643,120125.3
20200602,10.6,10.91,10.56,10.77,10.68,0.09,0.8427,151853.68
20200601,9.95,10.83,9.94,10.68,9.94,0.74,7.4447,209009.36
20200529,9.53,10.07,9.52,9.94,9.55,0.39,4.0838,151720.43
20200528,9.45,9.56,9.25,9.55,9.47,0.08,0.8448,77921.1
20200527,9.67,9.78,9.42,9.47,9.66,-0.19,-1.9669,70622.03
20200526,9.37,9.69,9.28,9.66,9.37,0.29,3.095,98835
20200525,9.55,9.55,9.27,9.37,9.53,-0.16,-1.6789,65015.05
20200522,9.75,9.87,9.45,9.53,9.8,-0.27,-2.7551,90944.55
20200521,10.18,10.2,9.79,9.8,10.15,-0.35,-3.4483,101647.1
20200520,10.26,10.4,10.07,10.15,10.25,-0.1,-0.9756,68203.19
20200519,10.13,10.33,10.05,10.25,10.02,0.23,2.2954,77755.82
20200518,10.56,10.56,10.02,10.02,10.55,-0.53,-5.0237,137420.31
20200515,10.5,10.66,10.47,10.55,10.54,0.01,0.0949,114287.03
20200514,10.55,10.65,10.35,10.54,10.52,0.02,0.1901,86194.65
20200513,10.57,10.6,10.41,10.52,10.57,-0.05,-0.473,72049.74
20200512,10.9,10.93,10.43,10.57,10.67,-0.1,-0.9372,97388.08
20200511,10.72,10.98,10.52,10.67,10.48,0.19,1.813,139413.99
20200508,10.6,10.87,10.41,10.48,10.51,-0.03,-0.2854,98431.92
20200507,10.63,10.85,10.45,10.51,10.57,-0.06,-0.5676,78669.76
20200506,10.27,10.63,10.18,10.57,10.39,0.18,1.7324,121253.36
20200430,9.53,10.48,9.5,10.39,9.53,0.86,9.0241,165782.55
20200429,9.46,9.65,9.32,9.53,9.44,0.09,0.9534,72422.83
20200428,10.2,10.38,9.3,9.44,10.33,-0.89,-8.6157,179275.56
20200427,10.51,10.6,10.3,10.33,10.52,-0.19,-1.8061,60296.47
20200424,10.65,10.87,10.45,10.52,10.7,-0.18,-1.6822,102521.32
20200423,10.7,10.97,10.56,10.7,10.67,0.03,0.2812,118086.58
20200422,10.19,10.76,10.07,10.67,10.2,0.47,4.6078,146049.6
20200421,10.07,10.23,10,10.2,10.16,0.04,0.3937,58749.58
20200420,9.88,10.18,9.85,10.16,9.91,0.25,2.5227,59757.28
20200417,10.02,10.21,9.87,9.91,9.98,-0.07,-0.7014,67694.83
20200416,9.73,10.02,9.62,9.98,9.74,0.24,2.4641,52436.37
20200415,9.9,9.96,9.71,9.74,9.86,-0.12,-1.217,43945.62
20200414,9.73,9.87,9.67,9.86,9.73,0.13,1.3361,43246.41
20200413,9.9,9.91,9.67,9.73,9.9,-0.17,-1.7172,32166.28
20200410,10.21,10.23,9.83,9.9,10.19,-0.29,-2.8459,46223.38
20200409,10.17,10.3,10.1,10.19,10.14,0.05,0.4931,56762.41
20200408,9.96,10.2,9.87,10.14,9.94,0.2,2.0121,79716.55
20200407,9.91,10.23,9.89,9.94,9.67,0.27,2.7921,97928.3
20200403,9.66,9.75,9.59,9.67,9.7,-0.03,-0.3093,61263.95
20200402,9.4,9.73,9.25,9.7,9.37,0.33,3.5219,71949.34
20200401,9.1,9.6,9.1,9.37,9.25,0.12,1.2973,89274.06
20200331,9.5,9.54,9.24,9.25,9.38,-0.13,-1.3859,67458.94
20200330,9.79,9.8,9.18,9.38,9.82,-0.44,-4.4807,88822.38
20200327,10.05,10.08,9.8,9.82,9.91,-0.09,-0.9082,77393.83
20200326,10.08,10.13,9.87,9.91,10.14,-0.23,-2.2682,76659.45
20200325,10.28,10.35,10.03,10.14,9.98,0.16,1.6032,121459.92
20200324,10.15,10.23,9.6,9.98,9.95,0.03,0.3015,116644.44
20200323,10.19,10.39,9.88,9.95,10.58,-0.63,-5.9546,99613.36
20200320,10.91,10.92,10.44,10.58,10.64,-0.06,-0.5639,89406.44
20200319,10.55,10.68,10.3,10.64,10.5,0.14,1.3333,108653.47
20200318,10.9,11.04,10.5,10.5,10.77,-0.27,-2.507,100909.08
20200317,10.71,10.87,10.19,10.77,10.52,0.25,2.3764,136512.86
20200316,11.37,11.55,10.43,10.52,11.33,-0.81,-7.1492,156916.38
20200313,11.03,11.54,11.01,11.33,11.68,-0.35,-2.9966,147005.71
20200312,11.74,11.96,11.47,11.68,11.91,-0.23,-1.9312,92982.11
20200311,11.99,12.15,11.77,11.91,11.9,0.01,0.084,136019.74
20200310,11.03,11.93,11.03,11.9,11.3,0.6,5.3097,167572.98
20200309,11.97,12,11.28,11.3,12.22,-0.92,-7.5286,155815.46
20200306,11.99,12.68,11.8,12.22,12.13,0.09,0.742,199924.92
20200305,12.05,12.26,11.8,12.13,11.94,0.19,1.5913,185882.12
20200304,11.54,12.06,11.35,11.94,11.56,0.38,3.2872,199894.21
20200303,11.6,11.99,11.39,11.56,11.47,0.09,0.7847,227088.51
20200302,11.18,11.69,10.78,11.47,11.1,0.37,3.3333,254984.6
20200228,11.78,12.02,11.1,11.1,12.33,-1.23,-9.9757,326656.5
20200227,12.39,12.55,12.08,12.33,12.15,0.18,1.4815,283414.74
20200226,12.61,12.83,11.97,12.15,12.95,-0.8,-6.1776,394706.65
20200225,13.17,13.45,12.56,12.95,13.53,-0.58,-4.2868,427094.39
20200224,13.3,13.62,13.08,13.53,13.15,0.38,2.8897,206334.56
20200221,13.44,13.87,13.03,13.15,13.61,-0.46,-3.3799,254587.72
20200220,13.46,13.75,13.19,13.61,13.52,0.09,0.6657,197563.81
20200219,12.82,14.03,12.6,13.52,12.82,0.7,5.4602,286537.16
20200218,12.85,12.92,12.58,12.82,12.81,0.01,0.0781,156361.54
20200217,12.51,12.84,12.38,12.81,12.57,0.24,1.9093,188023.75
20200214,12.41,12.79,12.32,12.57,12.66,-0.09,-0.7109,144414.66
20200213,12.29,13.2,12.18,12.66,12.19,0.47,3.8556,264140.73
20200212,11.93,12.32,11.9,12.19,12.03,0.16,1.33,180139.71
20200211,12.43,12.54,11.94,12.03,12.31,-0.28,-2.2746,197232.12
20200210,12,12.88,11.88,12.31,11.96,0.35,2.9264,234882.29
20200207,11.95,12.56,11.7,11.96,11.78,0.18,1.528,256251.44
20200206,10.7,11.78,10.5,11.78,10.71,1.07,9.9907,256243.34
20200205,10.45,10.88,10.3,10.71,10.59,0.12,1.1331,161618.16
20200204,9.64,10.67,9.53,10.59,9.7,0.89,9.1753,189291.61
20200203,9.7,9.84,9.7,9.7,10.78,-1.08,-10.0186,81077.56
20200123,11.54,11.59,10.5,10.78,11.62,-0.84,-7.2289,213356.49
